epoch,loss,val_loss,val_accuracy,val_auc,val_f1,val_sensitivity,val_specificity
1,0.2932159890731176,1.510503925383091,0.6666666666666666,0.8855714285714287,0.34710743801652894,0.19,1.0
2,0.16198567921916643,0.37163007259368896,0.8041666666666667,0.9011428571428571,0.7751196172248804,0.83,0.8
3,0.09736998301620285,0.4890963211655617,0.8166666666666667,0.9427142857142857,0.7261146496815286,0.57,1.0
4,0.13034338504076004,0.5361959543079138,0.8416666666666667,0.9402142857142858,0.7530864197530864,0.63,0.9928571428571429
5,0.08939942562331755,0.3407936589792371,0.8833333333333333,0.951,0.84375,0.82,0.9357142857142857
6,0.11790289247098068,0.8424694053828716,0.8,0.9295714285714286,0.6710526315789473,0.48,0.9928571428571429
7,0.1222255661462744,0.633452819660306,0.8083333333333333,0.9587857142857142,0.6842105263157895,0.54,1.0
8,0.118602946617951,0.33585239201784134,0.8791666666666667,0.9535,0.8310502283105022,0.93,0.8214285714285714
9,0.08212599563412368,0.2638793811202049,0.875,0.9632142857142857,0.8586387434554974,0.79,0.95
10,0.11614058664999902,0.37221524212509394,0.8666666666666667,0.9710714285714286,0.8047337278106509,0.67,0.9928571428571429
11,0.09447631370276213,0.2737228777259588,0.9208333333333333,0.9612142857142857,0.8864864864864865,0.8,0.9928571428571429
12,0.11364581442127625,0.3903133301064372,0.875,0.9514285714285715,0.8235294117647058,0.73,1.0
13,0.07815077130993207,0.9436368830502033,0.7666666666666667,0.9416428571428572,0.6111111111111112,0.46,1.0
14,0.09895141044010719,0.5568949924781919,0.8458333333333333,0.9457857142857143,0.7730061349693251,0.62,1.0
15,0.10862025152891874,0.7132263872772455,0.8208333333333333,0.9398571428571428,0.7133757961783439,0.56,0.9928571428571429
16,0.09103881487001976,0.36589565593749285,0.8625,0.9125714285714285,0.8342857142857143,0.7,0.9785714285714285
17,0.07992882854305208,0.5117207746952772,0.8166666666666667,0.9379285714285713,0.6928104575163399,0.57,1.0
18,0.06047192954768737,0.43951043020933867,0.8708333333333333,0.9404285714285715,0.7976190476190477,0.71,1.0
