epoch,loss,val_accuracy,val_auc
1,1.0527443587779999,0.21666666666666667,0.7458059528437991
2,0.8088491678237915,0.2125,0.7369652309972031
3,0.8118592242399851,0.5375,0.8285708778924414
4,0.7031716118256252,0.6375,0.8070675049145634
5,0.6764222900072734,0.675,0.8470446874616474
