epoch,loss,val_loss,val_accuracy,val_auc
1,1.0552257438500723,1.728956714272499,0.30833333333333335,0.7484039783418547
2,0.8545505265394847,1.3600026220083237,0.4,0.8287336242576343
3,0.7854520797729492,0.9886172488331795,0.6208333333333333,0.8065223129796458
4,0.7624553700288137,0.973987840116024,0.575,0.8516337481031675
5,0.6371470868587494,0.9827041476964951,0.6625,0.8438233634185647
6,0.6283649047215779,1.048409253358841,0.5291666666666667,0.8381071576307351
7,0.5227948059638341,0.9306496009230614,0.5666666666666667,0.8317378939343322
8,0.4745623866717021,1.0730652958154678,0.45416666666666666,0.8340383406001249
9,0.5033241639534632,1.1655528098344803,0.6,0.8219735067747135
10,0.4806999653577805,1.1975310817360878,0.7208333333333333,0.8587400235816927
11,0.4729481140772502,1.0193248242139816,0.6625,0.8418843417805122
