epoch,loss,val_loss,val_accuracy,val_auc,val_f1,val_sensitivity,val_specificity
1,0.36974816595514615,0.6210453510284424,0.7583333333333333,0.8262857142857142,0.6547619047619048,0.55,0.9071428571428571
2,0.22903028987348079,0.3625108413398266,0.8,0.9137142857142857,0.7818181818181819,0.86,0.7571428571428571
3,0.12192863790939251,0.51011823117733,0.8416666666666667,0.9316428571428571,0.7682926829268293,0.63,0.9928571428571429
4,0.07879382261695961,0.5793836801312864,0.8416666666666667,0.9342857142857143,0.7682926829268293,0.63,0.9928571428571429
5,0.1223055979857842,0.5536398766562343,0.8458333333333333,0.9162857142857144,0.7784431137724551,0.65,0.9857142857142858
6,0.08297974355518818,0.28270999109372497,0.9041666666666667,0.9634285714285714,0.8756756756756757,0.81,0.9714285714285714
7,0.07635720688849687,0.26035430980846286,0.9083333333333333,0.9656428571428571,0.8842105263157894,0.84,0.9571428571428572
8,0.06896844493846098,0.3874366459203884,0.8958333333333334,0.9594285714285714,0.8633879781420765,0.79,0.9714285714285714
9,0.11200688894217213,0.33047422487288713,0.9083333333333333,0.9609285714285716,0.8791208791208791,0.8,0.9857142857142858
10,0.06738667407383521,0.279302136041224,0.9166666666666666,0.9646428571428571,0.8913043478260869,0.82,0.9857142857142858
11,0.07601558403111994,0.2104647634550929,0.925,0.9747857142857143,0.90625,0.87,0.9642857142857143
12,0.03895082963475337,0.2508467100560665,0.9041666666666667,0.9589285714285715,0.8855721393034826,0.89,0.9142857142857143
13,0.0511279900247852,0.39475558418780565,0.8916666666666667,0.9630714285714286,0.8539325842696629,0.76,0.9857142857142858
14,0.06064760795949648,0.26079196436330676,0.9041666666666667,0.9595714285714286,0.882051282051282,0.86,0.9357142857142857
15,0.040792861689502996,0.29060638207010925,0.9083333333333333,0.9646428571428571,0.8804347826086957,0.81,0.9785714285714285
16,0.032110165428215015,0.37037045951001346,0.9,0.949,0.8695652173913043,0.8,0.9714285714285714
17,0.030551924424556395,0.2334535795962438,0.925,0.9766428571428571,0.90625,0.87,0.9642857142857143
18,0.05647667032511284,0.35735199437476695,0.9083333333333333,0.9578571428571429,0.8829787234042553,0.83,0.9642857142857143
19,0.03244622675313925,0.4949747109785676,0.8958333333333334,0.9678571428571429,0.8571428571428571,0.75,1.0
20,0.028719955620666347,0.2556683639995754,0.9166666666666666,0.9675714285714286,0.8936170212765957,0.84,0.9714285714285714
