epoch,loss,val_loss,val_accuracy,val_auc,val_f1,val_sensitivity,val_specificity
1,0.33479707066435366,0.7894682114788641,0.7166666666666667,0.8729999999999999,0.48484848484848486,0.32,1.0
2,0.3078809964237735,0.6490709733838836,0.7125,0.9296428571428572,0.4732824427480916,0.31,1.0
3,0.23160407769028096,1.3604258181915307,0.6708333333333333,0.9076428571428571,0.34710743801652894,0.21,1.0
4,0.23462493986783858,1.3178590711012172,0.6625,0.9522142857142858,0.31932773109243695,0.19,1.0
5,0.22118629011674784,0.6636328989251827,0.7958333333333333,0.9416428571428571,0.6754966887417219,0.51,1.0
6,0.20647082576178946,0.6128462151895898,0.8166666666666667,0.9507142857142857,0.717948717948718,0.56,1.0
7,0.19350712598340275,0.3469871644861996,0.85,0.938357142857143,0.7906976744186046,0.68,0.9714285714285714
8,0.20167855523225928,0.8310006804046376,0.7666666666666667,0.9164285714285715,0.6111111111111112,0.44,1.0
9,0.21989028531728158,1.5496061900242541,0.6416666666666667,0.854,0.24561403508771928,0.14,1.0
10,0.14451930340122393,1.6826144428884922,0.6625,0.8552142857142857,0.31932773109243695,0.19,1.0
11,0.19193767587081917,1.1708995089167729,0.7083333333333334,0.9021428571428571,0.46153846153846156,0.3,1.0
12,0.16069492628788187,0.7168875070599218,0.7541666666666667,0.8987142857142857,0.5815602836879432,0.41,1.0
13,0.1432948827825991,0.6144146350212395,0.7666666666666667,0.9531428571428571,0.6111111111111112,0.44,1.0
14,0.14658135614105655,0.7770361525006593,0.7416666666666667,0.8939285714285713,0.5507246376811594,0.38,1.0
15,0.19898195222679835,0.6128841785481199,0.8083333333333333,0.9371428571428572,0.7012987012987013,0.54,1.0
